PS Power, PL Power, MGT Power, Total Power
 0.011, 1.306, 0.000, 1.318
 0.012, 0.978, 0.000, 0.990
 0.012, 0.662, 0.000, 0.674
 0.012, 1.069, 0.000, 1.081
 0.011, 1.163, 0.000, 1.174
 0.012, 1.028, 0.000, 1.040
 0.011, 1.319, 0.000, 1.330
 0.012, 1.059, 0.000, 1.071
 0.011, 1.169, 0.000, 1.180
 0.014, 0.594, 0.000, 0.608
 0.011, 1.075, 0.000, 1.086
 0.012, 0.661, 0.000, 0.673
 0.012, 0.618, 0.000, 0.630
 0.013, 0.428, 0.000, 0.440
 0.012, 0.779, 0.000, 0.791
 0.012, 0.664, 0.000, 0.676
 0.012, 0.855, 0.000, 0.868
 0.012, 0.898, 0.000, 0.910
 0.012, 1.077, 0.000, 1.089
 0.012, 1.013, 0.000, 1.025
 0.012, 0.898, 0.000, 0.911
 0.012, 0.979, 0.000, 0.991
 0.011, 0.988, 0.000, 0.999
 0.012, 0.942, 0.000, 0.954
 0.012, 0.895, 0.000, 0.907
 0.012, 1.013, 0.000, 1.025
 0.011, 1.366, 0.000, 1.377
 0.012, 1.081, 0.000, 1.092
 0.012, 1.078, 0.000, 1.090
 0.012, 0.853, 0.000, 0.864
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.010, 0.119, 0.000, 0.129
 0.011, 0.119, 0.000, 0.130
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.128
 0.012, 1.014, 0.000, 1.026
 0.011, 1.223, 0.000, 1.234
 0.012, 0.886, 0.000, 0.898
 0.012, 1.078, 0.000, 1.090
 0.012, 0.927, 0.000, 0.939
 0.012, 1.252, 0.000, 1.263
 0.015, 0.906, 0.000, 0.920
 0.012, 1.274, 0.000, 1.286
 0.012, 1.274, 0.000, 1.286
 0.012, 0.885, 0.000, 0.897
 0.012, 1.110, 0.000, 1.122
 0.012, 0.900, 0.000, 0.912
 0.012, 1.124, 0.000, 1.136
 0.012, 1.313, 0.000, 1.325
 0.012, 1.218, 0.000, 1.229
 0.012, 1.167, 0.000, 1.179
 0.012, 1.026, 0.000, 1.038
 0.012, 1.107, 0.000, 1.119
 0.013, 0.699, 0.000, 0.711
 0.012, 1.027, 0.000, 1.039
 0.012, 0.776, 0.000, 0.788
 0.012, 0.777, 0.000, 0.789
 0.014, 0.778, 0.000, 0.792
 0.015, 0.780, 0.000, 0.795
 0.014, 0.883, 0.000, 0.897
 0.013, 0.892, 0.000, 0.905
 0.012, 1.013, 0.000, 1.026
 0.012, 0.814, 0.000, 0.826
 0.012, 0.725, 0.000, 0.738
 0.008, 0.377, 0.000, 0.386
 0.010, 0.131, 0.000, 0.142
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.015, 0.119, 0.000, 0.134
 0.011, 0.119, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.013, 0.771, 0.000, 0.784
 0.012, 1.031, 0.000, 1.042
 0.012, 1.031, 0.000, 1.043
 0.012, 0.930, 0.000, 0.942
 0.012, 1.316, 0.000, 1.327
 0.012, 0.983, 0.000, 0.994
